date,schedule_id
2026-08-17,bell_schedule_example_seven_period_day
2026-08-18,bell_schedule_example_seven_period_day
2026-08-19,bell_schedule_example_seven_period_day
2026-08-20,bell_schedule_example_seven_period_day
2026-08-21,bell_schedule_example_seven_period_day
2026-08-24,bell_schedule_example_seven_period_day
2026-08-25,bell_schedule_example_seven_period_day
2026-08-26,bell_schedule_example_seven_period_day
2026-08-27,bell_schedule_example_seven_period_day
2026-08-28,bell_schedule_example_seven_period_day
2026-08-31,bell_schedule_example_seven_period_day
2026-09-01,bell_schedule_example_seven_period_day
2026-09-02,bell_schedule_example_seven_period_day
2026-09-03,bell_schedule_example_seven_period_day
2026-09-04,bell_schedule_example_seven_period_day
2026-09-08,bell_schedule_example_seven_period_day
2026-09-09,bell_schedule_example_seven_period_day
2026-09-10,bell_schedule_example_seven_period_day
2026-09-11,bell_schedule_example_seven_period_day
